epoch,optimizer,lr,rho,lr_center,lr_min,lr_max,rho_center,rho_min,rho_max,adaptive,adaptive_power,eta,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
12,stage4_dynamic_rho_lr_improved_sam,0.010027804255756615,0.10173072892188492,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.4208202067756653,0.85856,0.44619382042884825,0.8456,0.8456,61.74815058708191
13,stage4_dynamic_rho_lr_improved_sam,0.010002080954598331,0.10174467548781556,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.3916459370803833,0.86932,0.4654647308349609,0.8388,0.8456,61.55701231956482
14,stage4_dynamic_rho_lr_improved_sam,0.009968087926293013,0.10168655665382806,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.36927891897201537,0.8749,0.4013682538032532,0.8621,0.8621,61.77530121803284
15,stage4_dynamic_rho_lr_improved_sam,0.009925675399606006,0.10155363184033386,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.3441356399917603,0.88468,0.4032706459999085,0.8651,0.8651,61.89375877380371
16,stage4_dynamic_rho_lr_improved_sam,0.009874755953038059,0.10134403941404743,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.32292984075546266,0.8931,0.37840259232521056,0.8724,0.8724,61.771528005599976
17,stage4_dynamic_rho_lr_improved_sam,0.009815306948136548,0.10105683378941203,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.30766701751708986,0.8983,0.37015435461997986,0.8765,0.8765,62.02793788909912
18,stage4_dynamic_rho_lr_improved_sam,0.009747371922613648,0.10069200698803348,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.2899327126502991,0.90564,0.37451796827316286,0.8722,0.8765,61.80281639099121
19,stage4_dynamic_rho_lr_improved_sam,0.009671060917840148,0.10025049427392964,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.27526264609336853,0.90886,0.34146168982982633,0.8837,0.8837,61.92399978637695
20,stage4_dynamic_rho_lr_improved_sam,0.009586549733803133,0.0997341637601274,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.2612494279384613,0.91436,0.3331753530025482,0.8845,0.8845,61.81116819381714
21,stage4_dynamic_rho_lr_improved_sam,0.0094940781232571,0.09914579016169597,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.24472831276893617,0.9217,0.31687942099571226,0.8913,0.8913,61.88633346557617
22,stage4_dynamic_rho_lr_improved_sam,0.009393946955236052,0.09848901314680973,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.23280443674087525,0.92594,0.32865149211883543,0.8857,0.8913,61.81815505027771
23,stage4_dynamic_rho_lr_improved_sam,0.009286514396006413,0.09776828100605621,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.22029989270210265,0.93028,0.323621000623703,0.8889,0.8913,61.68674087524414
24,stage4_dynamic_rho_lr_improved_sam,0.009172191172614485,0.0969887806162511,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.20876390491485597,0.93394,0.3015304224967957,0.8947,0.8947,61.70721983909607
25,stage4_dynamic_rho_lr_improved_sam,0.009051435000119564,0.09615635491402107,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.19899508554458617,0.93852,0.3038140004634857,0.8955,0.8955,61.86436581611633
26,stage4_dynamic_rho_lr_improved_sam,0.008924744268125957,0.09527740931218903,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.18997145229816437,0.9416,0.29896080839633943,0.898,0.898,61.8652184009552
